parent_id,parenting_style,child_mental_health,communication_skills,emotional_wellbeing,social_skills,academic_performance,parent_involvement
1,Helicopter,89,56,68,72,75,75
2,Neglectful,52,82,81,87,67,69
3,Indulgent,52,76,59,82,88,59
4,Uninvolved,58,70,67,82,76,68
5,Helicopter,35,76,57,77,84,87
6,Positive Reinforcement,68,74,65,71,54,86
7,Permissive,34,71,84,72,53,85
8,Helicopter,61,60,87,77,69,52
9,Indulgent,69,55,66,81,53,70
10,Uninvolved,55,52,72,72,60,67
11,Neglectful,43,79,75,80,79,89
12,Indulgent,47,77,89,62,66,79
13,Indulgent,50,66,72,61,52,72
14,Permissive,88,72,72,73,60,72
15,Overprotective,54,83,56,68,87,58
16,Uninvolved,49,70,61,52,77,75
17,Authoritarian,53,54,71,81,82,66
18,Indulgent,32,64,66,77,56,67
19,Overprotective,51,51,62,67,81,56
20,Authoritarian,37,73,87,53,70,68
21,Uninvolved,75,59,63,64,86,67
22,Authoritative,86,69,56,65,59,58
23,Positive Reinforcement,75,84,68,76,87,77
24,Overprotective,58,70,88,89,87,61
25,Laissez-faire,36,79,56,71,62,78
26,Authoritative,35,78,76,79,78,60
27,Positive Reinforcement,88,84,66,71,72,69
28,Permissive,35,87,83,78,83,66
29,Helicopter,41,75,60,60,82,89
30,Neglectful,51,69,58,85,81,61
31,Laissez-faire,76,85,88,64,50,60
32,Permissive,55,89,52,50,55,87
33,Uninvolved,54,67,72,53,77,55
34,Permissive,48,71,89,77,65,55
35,Helicopter,65,62,53,72,64,50
36,Uninvolved,64,64,65,66,84,78
37,Laissez-faire,42,65,70,88,72,62
38,Helicopter,54,74,74,65,85,58
39,Authoritarian,77,52,54,73,68,58
40,Neglectful,74,54,50,70,80,55
41,Laissez-faire,61,76,81,72,68,87
42,Authoritarian,59,88,86,69,84,64
43,Positive Reinforcement,50,82,69,81,65,86
44,Laissez-faire,71,89,60,54,74,70
45,Positive Reinforcement,74,87,82,81,72,57
46,Uninvolved,69,53,85,63,82,58
47,Authoritarian,73,87,81,68,74,85
48,Neglectful,37,51,68,73,82,80
49,Helicopter,70,68,88,85,80,78
50,Indulgent,71,67,67,76,56,83
